City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
169,Kodiak,US,2023-02-02 21:41:54,57.79,-152.4072,-1.27,86,100,1.54
170,Bordighera,IT,2023-02-02 21:41:54,43.7806,7.6645,12.0,82,0,2.68
171,Benemerito De Las Americas,MX,2023-02-02 21:41:55,16.5167,-90.6439,30.66,40,11,1.63
172,Ruteng,ID,2023-02-02 21:41:55,-8.6136,120.4721,16.63,92,100,0.73
173,Kruisfontein,ZA,2023-02-02 21:41:55,-34.0033,24.7314,17.08,90,2,2.76
174,Cherskiy,RU,2023-02-02 21:40:56,68.75,161.3,-26.96,100,98,1.43
175,Akalkot,IN,2023-02-02 21:41:56,17.5333,76.2167,20.32,28,97,5.01
176,Sur,OM,2023-02-02 21:41:56,22.5667,59.5289,19.38,66,0,1.14
177,Kaitangata,NZ,2023-02-02 21:37:10,-46.2817,169.8464,24.09,57,33,1.4
178,Norman Wells,CA,2023-02-02 21:41:57,65.282,-126.8329,-32.98,75,20,2.06
179,Carnarvon,AU,2023-02-02 21:41:57,-24.8667,113.6333,27.89,60,24,1.88
180,New Norfolk,AU,2023-02-02 21:41:58,-42.7826,147.0587,10.72,70,9,1.46
181,Coquimbo,CL,2023-02-02 21:41:58,-29.9533,-71.3436,19.85,72,40,6.17
182,Namibe,AO,2023-02-02 21:41:58,-15.1961,12.1522,22.58,76,52,1.8
183,Ojinaga,MX,2023-02-02 21:41:59,29.5667,-104.4167,19.21,42,0,6.17
184,Labuhan,ID,2023-02-02 21:41:59,-6.8844,112.2051,24.5,89,100,2.67
185,Kaeo,NZ,2023-02-02 21:41:59,-35.1,173.7833,24.07,97,100,3.91
186,Coihaique,CL,2023-02-02 21:42:00,-45.5752,-72.0662,21.97,46,20,3.6
187,Aracuai,BR,2023-02-02 21:43:00,-16.8497,-42.0703,24.36,78,100,0.9
188,Great Yarmouth,GB,2023-02-02 21:43:01,52.6083,1.7305,9.72,78,72,7.78
189,Alma,CA,2023-02-02 21:38:53,48.5501,-71.6491,-5.93,76,100,6.22
190,Nemuro,JP,2023-02-02 21:43:01,43.3236,145.575,-10.22,78,22,5.17
191,Pilar,BR,2023-02-02 21:43:02,-9.5972,-35.9567,26.96,80,65,3.1
192,Nanae,JP,2023-02-02 21:43:03,41.8833,140.6833,-9.87,85,75,2.06
193,Atuona,PF,2023-02-02 21:43:03,-9.8,-139.0333,25.92,80,64,9.67
194,Bridlington,GB,2023-02-02 21:43:04,54.0831,-0.1919,9.96,77,100,10.89
195,Almaznyy,RU,2023-02-02 21:43:04,48.0448,40.045,-0.22,83,98,2.6
196,Cairns,AU,2023-02-02 21:43:05,-16.9167,145.7667,27.81,93,96,1.54
197,Cavalcante,BR,2023-02-02 21:43:06,-13.7975,-47.4583,23.31,74,75,0.69
198,Veraval,IN,2023-02-02 21:43:06,20.9,70.3667,21.68,44,37,4.7
199,Jacareacanga,BR,2023-02-02 21:43:07,-6.2222,-57.7528,25.57,80,79,1.12
200,Martapura,ID,2023-02-02 21:43:07,-3.4167,114.85,24.05,100,100,1.03
201,Yumen,CN,2023-02-02 21:43:07,40.2833,97.2,-6.63,41,17,1.14
202,Soltsy,RU,2023-02-02 21:43:08,58.1239,30.3238,-3.1,98,100,1.86
203,Fayaoue,NC,2023-02-02 21:43:08,-20.65,166.5333,27.15,82,37,4.72
204,Sistranda,NO,2023-02-02 21:40:49,63.7256,8.834,-1.02,65,13,9.33
205,Beira,MZ,2023-02-02 21:40:27,-19.8436,34.8389,27.05,78,20,4.12
206,Calvia,ES,2023-02-02 21:43:09,39.5657,2.5062,6.71,70,0,2.28
207,Itoman,JP,2023-02-02 21:43:10,26.1247,127.6694,17.01,72,20,3.6
208,Srednekolymsk,RU,2023-02-02 21:43:10,67.45,153.6833,-34.66,100,100,0.26
209,Cleveland,US,2023-02-02 21:43:04,41.4995,-81.6954,4.38,43,20,8.23
210,Edson,CA,2023-02-02 21:43:11,53.5835,-116.4356,-14.92,78,0,0.0
211,Baiyin,CN,2023-02-02 21:43:11,36.5583,104.2081,-4.36,44,0,1.54
212,Longyearbyen,SJ,2023-02-02 21:43:12,78.2186,15.6401,-15.09,72,20,8.23
213,Avera,US,2023-02-02 21:43:13,33.194,-82.5271,10.73,87,100,2.58
214,Kavieng,PG,2023-02-02 21:43:13,-2.5744,150.7967,28.41,72,86,2.55
215,Cockburn Town,TC,2023-02-02 21:40:56,21.4612,-71.1419,24.84,69,35,8.84
216,Raudeberg,NO,2023-02-02 21:43:14,61.9875,5.1352,2.37,65,100,3.65
217,Eskisehir,TR,2023-02-02 21:38:44,39.7767,30.5206,-2.05,100,40,0.51
218,Gravdal,NO,2023-02-02 21:43:15,68.1214,13.5031,0.94,75,40,4.12
219,Tasiilaq,GL,2023-02-02 21:43:15,65.6145,-37.6368,-4.91,86,100,1.68
220,Lavrentiya,RU,2023-02-02 21:43:16,65.5833,-171.0,-18.1,93,12,3.51
221,Tolaga Bay,NZ,2023-02-02 21:43:16,-38.3667,178.3,22.13,75,100,4.52
222,Saint George,US,2023-02-02 21:38:25,37.1041,-113.5841,13.57,30,0,0.89
223,Gusev,RU,2023-02-02 21:43:17,54.5922,22.1997,-1.58,87,68,4.25
224,Moose Factory,CA,2023-02-02 21:43:17,51.2585,-80.6094,-28.0,63,100,7.72
225,Lagoa,PT,2023-02-02 21:43:18,39.05,-27.9833,14.49,85,40,10.97
226,Dikson,RU,2023-02-02 21:43:18,73.5069,80.5464,-15.94,91,100,2.92
227,Ramban,IN,2023-02-02 21:43:19,33.25,75.25,7.56,63,39,4.82
228,Tahoua,NE,2023-02-02 21:43:19,14.8888,5.2692,26.99,12,21,2.06
229,Bull Savanna,JM,2023-02-02 21:43:20,17.8868,-77.5902,25.53,71,6,6.48
230,Auki,SB,2023-02-02 21:43:20,-8.7676,160.7034,27.33,80,96,2.12
231,Chaohu,CN,2023-02-02 21:43:21,31.6,117.8667,2.4,87,100,0.84
232,Krasnoselkup,RU,2023-02-02 21:44:21,65.7,82.4667,-18.35,99,55,3.56
233,Craig,US,2023-02-02 21:44:22,40.5153,-107.5464,-3.21,72,0,0.0
234,Port Stanley,FK,2023-02-02 21:44:22,-51.7,-57.85,20.16,75,96,7.06
235,Dingle,PH,2023-02-02 21:44:23,10.9995,122.6711,23.35,94,86,3.95
236,Tubuala,PA,2023-02-02 21:44:23,9.5167,-79.0333,26.24,78,38,6.13
237,Bima,ID,2023-02-02 21:44:23,-8.4667,118.7167,23.74,95,100,1.04
238,Vila Do Maio,CV,2023-02-02 21:44:24,15.1333,-23.2167,21.44,74,59,7.98
239,Sambava,MG,2023-02-02 21:44:24,-14.2667,50.1667,24.83,86,29,5.55
240,Aksarka,RU,2023-02-02 21:44:25,66.5606,67.7975,-14.63,96,60,3.6
